source,target,type
5644,5305,directed
2480,4526,directed
7991,4269,directed
4269,3171,directed
3171,3985,directed
9395,4864,directed
8899,8137,directed
4026,837,directed
2409,4269,directed
4269,1071,directed
1071,6894,directed
8338,420,directed
420,2541,directed
2551,4771,directed
4771,993,directed
9005,2901,directed
2901,1866,directed
5353,3854,directed
3252,150,directed
5121,9516,directed
9516,5844,directed
5844,5318,directed
8328,4682,directed
4682,2270,directed
5000,8218,directed
8218,2541,directed
2541,1312,directed
1257,5082,directed
5082,4015,directed
4015,154,directed
7236,1506,directed
1506,3243,directed
7985,837,directed
837,3985,directed
3985,7905,directed
7905,1678,directed
1678,2201,directed
2201,1353,directed
1353,5201,directed
4269,7964,directed
4369,3929,directed
3929,6426,directed
6448,7801,directed
8328,8717,directed
8717,8218,directed
8218,4994,directed
4994,4269,directed
7110,8739,directed
332,2369,directed
1234,5518,directed
4128,7184,directed
7184,2816,directed
2816,7822,directed
7822,2404,directed
2404,2044,directed
2589,7041,directed
8011,8328,directed
8328,3827,directed
3827,7591,directed
4572,6704,directed
6704,9050,directed
9050,4292,directed
4292,4526,directed
3571,6013,directed
6013,5742,directed
6138,3854,directed
3854,1939,directed
4214,3985,directed
3985,1385,directed
1385,7426,directed
7023,1829,directed
1829,6617,directed
8296,7690,directed
7690,6202,directed
1215,6227,directed
2811,4264,directed
9549,9572,directed
3641,6775,directed
7991,4269,directed
4269,2270,directed
2415,9252,directed
5648,3272,directed
7747,5605,directed
5605,3061,directed
3061,3057,directed
3057,6393,directed
8328,7890,directed
7890,9614,directed
9614,8448,directed
8448,3061,directed
3061,3180,directed
3180,5988,directed
2900,5885,directed
5885,3056,directed
3056,7771,directed
7771,1913,directed
1913,837,directed
1128,5620,directed
5620,8368,directed
8368,5742,directed
8328,5938,directed
5938,3951,directed
3951,7184,directed
7184,2816,directed
2816,7822,directed
7822,2404,directed
8328,5000,directed
5000,1031,directed
1031,3279,directed
3279,7771,directed
7771,12,directed
826,4259,directed
7647,8809,directed
8809,7033,directed
5742,6698,directed
6698,9375,directed
5201,7369,directed
6416,5000,directed
5000,3909,directed
3909,7773,directed
7773,826,directed
826,4994,directed
6012,8738,directed
8738,5352,directed
1248,2901,directed
2901,5674,directed
8103,4269,directed
7110,837,directed
837,2789,directed
6938,9155,directed
8719,2454,directed
9614,8242,directed
8242,2250,directed
2250,6423,directed
6447,310,directed
310,9170,directed
5121,2044,directed
2044,9198,directed
9198,8429,directed
7252,6041,directed
5151,2511,directed
2511,7475,directed
7475,7905,directed
7905,7890,directed
7890,2275,directed
751,289,directed
3434,5341,directed
7194,2901,directed
2901,3350,directed
8400,7905,directed
7905,5000,directed
5000,1035,directed
156,7773,directed
7773,3985,directed
3508,3056,directed
3056,7587,directed
6521,9394,directed
9394,7526,directed
473,3400,directed
4486,4995,directed
4995,4827,directed
4827,5881,directed
5881,2251,directed
2251,2799,directed
7991,3087,directed
2439,2541,directed
5798,5306,directed
5306,6888,directed
6888,4944,directed
4944,9059,directed
7552,1827,directed
2752,8739,directed
8739,4741,directed
4741,604,directed
604,5296,directed
5813,630,directed
4214,3985,directed
3985,5223,directed
6106,2593,directed
2593,5988,directed
5988,3879,directed
2903,7905,directed
7905,8643,directed
8643,5646,directed
3171,4269,directed
4914,3056,directed
3056,8717,directed
8717,5742,directed
9516,6181,directed
6181,8218,directed
8218,3087,directed
2551,9097,directed
115,1236,directed
1236,6894,directed
7369,3473,directed
3473,5802,directed
8328,9572,directed
9572,7608,directed
2856,6428,directed
6428,3598,directed
7446,7184,directed
5742,2216,directed
2216,8013,directed
8013,8739,directed
8739,4526,directed
9549,5813,directed
5813,3789,directed
3789,4974,directed
4974,3621,directed
3621,2593,directed
4279,4727,directed
4727,3056,directed
3056,7110,directed
2055,9375,directed
9375,2816,directed
2816,5964,directed
4211,6004,directed
6004,2834,directed
2834,3057,directed
3057,7985,directed
7822,336,directed
8161,3854,directed
6617,517,directed
8328,5000,directed
5000,7991,directed
6602,5988,directed
6646,7644,directed
7041,2589,directed
2589,229,directed
9572,9252,directed
6704,2103,directed
2103,4269,directed
3558,5807,directed
5807,3350,directed
1731,1913,directed
1913,4269,directed
7184,9549,directed
9549,2746,directed
2746,1083,directed
4728,6076,directed
6076,7844,directed
7844,603,directed
5651,214,directed
214,3985,directed
7193,7608,directed
7608,2799,directed
7110,8739,directed
8739,229,directed
2799,9408,directed
5235,6704,directed
6704,2055,directed
289,7905,directed
7905,4000,directed
3985,7714,directed
9414,6704,directed
6704,9198,directed
9198,8856,directed
8856,5352,directed
358,4029,directed
